prolific_id,bonus_amt
5ea9cf685ce96d13164b381a,1
55ae61acfdf99b44a305f135,1
641a7e0a860ab86fd7994894,1
571c631fe1d2ec0013a68515,0.50
60fc855e03afaabca212e804,1
5e9c3ac6d3eeed14ec7fb05f,1
5c3a87a61ede2b000115cf76,1
54837312fdf99b2490ad57b6,1
5c33ccf9377d960001044af0,1
60fdd396a9138b85dadbb97c,0.50
6400d8c2f1a7b2e8a7eafd05,1
6105b1b285e91680458bd341,0.50
61006b0f1f3bfddb6b4c5d55,1
5d474d1fab2d280015bb0110,0.50
5f616d5523e52610f1ac1a16,0.50
631f42113c39c2121e543b18,0.50
6152305042a5020fd676cae3,1
612dab1b1f17a690c86625a4,0.50
5f1cfb978d05fc1a2baf7b58,1
604d09c45aedf7f70c3c66bf,0.50
5dc592c6aa431440aa755d5b,1
5befb6e27c387400016983bf,1
60fccc2c096c38cc9ad63ff3,1
61080f93a218beb34451bbb4,0.50
63d0e7b048922830511a3402,1
5e6d43ffd5d24630bd0bf726,1
597a66525ea29d000126efbe,0.50
644eef3e0a26e06facf8ee84,1
58a53ea734fcb30001053e08,0.50
63ed0065eb23ac3ee1726453,1
5c28a7d31c8e4c0001b2e0a4,1
60fc5d49ff20168d794fe083,0.50
5c742339e621f900163f4543,0.50
63d17c51a8879ab11798f1c1,0.50
5fc6f4cff3df11159190cbef,0.50
59ba2a6e6495ef00019fbd70,1
5987c93c5837f200016a98e0,0.50
5d68c88914867f000139f627,1
644ca5dc0dc3b5019e8f0469,0.50
5dd3bfcd8b8df139ce007928,1
5e937e8e4d246b6b4162ae72,0.50
614e64473e9073bb219b270d,0.50
633ec4ab1ea0f8f0e863ae3e,1
55aeaeb3fdf99b5c769f1f7c,0.50
64421f9918923f5a128d0d06,0.50
5fc50bb38378c80ac88354ef,1
5dcc27974b54778b69e62ec5,1
5d617ba9364f9a0019f1dac3,1
644eddf8f4ae2067de6acce8,0.50
5627279fddff3c000fbcd625,0.50
6108767c9bec77d0e42e3c44,0.50
5ddc07391e42a9000b2622be,0.50
610976a9397b8cbaecbc05f3,0.50
63e403e848165e69c62a729a,1
6400f39eece4224bfb47807e,0.50
59baa339ab8d830001fe56f5,0.50
609f58e8af0f5f3acedd9806,1
63d8766016c0bfcd19d3c732,0.50
5e3581ed0082f15283413024,1
6361b032a20001fc86b0ff1b,1
58be2fc3bfc0f4000179f3c5,0.50
5b75d448be28580001b5a603,0.50
61686f8376bd6ff59ea15479,0.50
58ee9e2e6eec530001c2889d,1
5c080adf76e77b00016744dc,0.50
5ffd2c0699c3912436845113,1
644a9d92849b27eb99202a91,1
610631ba860f21ac066946cf,0.50
615cc7c9fe9f26fa64250891,1
60372147dfe1bd27fb56629e,1
63fac97f0d4e8f6bfd753d90,0.50
63d3f95e93b636344cf403d9,1
610d3f2e9d2333e4a86ca9bc,0.50
5f244e0d0d7f44018faa3938,0.50
60fe076cdaf85311b32cb6a0,1
5d615f7632cfbd001b1b6dcb,1
637058f9e7a26c452d1cc49a,1
63ed0ea6e613f50dfb1da55c,1
63bf6105f71f720415f0198b,0.50
60da4f9aa1ced7efeecca18a,1
63c3118da7ffa9c9fa88a10e,1
606df53de4b0550a5f42fefe,0.50
5c6e31540506a200015c3cc5,0.50
63eb1f2612fb147330480658,1
5dcf34f64fee9907fc626f0f,1
64135db83e4afcf2f3190e0b,1
5e9f12398bee3106d8a13131,0.50
6144834d136ed7f27d2dbe60,0.50
5ea92954ef7ece00096faf5a,0.50
5dab9bb23dd8f50015d256d5,1
5e9914c1fbefef156abebcd1,1
595d516e2da9c90001d7d200,1
63b5681c49af1cbe651420bc,1
636150c1c5a922d6451c675c,0.50
607ce9df61f8f44b9403edfc,0.50
57d435c8ca054400014bac35,0.50
60ff9a4e2344f776fc62a5a6,0.50
62e92ac314e2c0f89236aed1,1
5ec9fc1650b79c158be48421,1
5f0d2ad60ad0d6730c380b05,0.50
55b47001fdf99b615b12d66c,0.50
61003d8f50af08227da7fd77,1
5f0907cacd2a9f194b21eda8,1
6117d5624e31c4802cbcc51a,1
640e2d45fd23f3fafe92d6d4,0.50
6307bee7b345c1bf0fb2f362,0.50
5e1fc8d45427912f6143b012,0.50
5ea3b1b9fc11ed33dde53561,0.50
62ccc441a118b06a27cd5cdc,1
614f23fabc0fcaa3cdfb9e05,0.50
5fd2ee0121083b11eb8a237e,0.50
5df9846d76f45070feedf075,1
643cf85aea39b8c40c95586c,0.50
5e23f684292336689e8dd77a,0.50
633ccb3d9e385c782d944243,0.50
63ea451d26e9af5be0b01d50,1
5c5f8a910edbd90001e1feda,1
6438351ba7fc4141b4efb3e6,0.50
644019592221ed818cde4a6b,1
63bd8566ccfd7ec9c7d4644d,0.50
6400f087f7c99ab99abdf3c8,1
5da88a6037d42100144928bd,1
5e67cfd568561d07fcc7056f,1
6109913645a77201ccf1cfb7,1
5d4c7ac3e8ec490018b0050d,1
632bf0c833cf500d10aeb279,0.50
60f7818f24735a8f072aec3a,0.50
63b3208b1734328e43b42532,0.50
63f4021039d138e8425201c7,0.50
6400e07f37c248e81cbc9d41,0.50
63cffe69ec33b3a776d6660e,1
629288376055ad7fb05bbf77,1
59c843b646f72100019067ce,0.50
6109917749b14701436e49f9,1
6413992859f462e750f8f162,1
641a9e9fa6c98ff5f99948d2,0.50
5d1511f1e814b800016108a6,0.50
6431a039ddca4f4c86f68b05,1
5c7307403065320001bdf00f,0.50
6294bc3eec2ddf53f2dc9316,1
63fcde3494055a563c72cb12,1
6154973c69da7c97996a19f6,0.50
5b91dc16cc81a400017a3438,1
5685850c333cbd000d4e042f,0.50
615a1d9297d4e05d6df9da22,1
63f78bee27421366beb7b211,1
5fdbdc853ce8060db67cf718,0.50
63ea5b93d1c6d38e1f57dcfa,1
5cedb21e6bca0c0019bc5891,1
59aba109d4ef6600011211c9,0.50
5c2c62542c45d400014a32e6,0.50
5e872f5b3a32c337ba65aa68,1
5de5dba9ff87c15699804260,0.50
5fd9ad6dab00c64c8a45c9fc,1
6283f8c5dc230fe36cecf6aa,0.50
62d3864d8929960c0bd35335,0.50
5d49f28a3fefca00193319ac,1
5c6c597c42e33400019c72a5,1
5a94c0b7b5e2110001c6891e,1
5e7acbd0373d5e0c087a112c,1
626aa30c05328c5519b86746,1
640e0a78429da7fc32ee82d3,1
63ea4d8e84be50666e5e2bd6,1
5d9d3573d313e90016b925c0,0.50
5e264669d9ab6089713dc62f,0.50
5e04b9be7adf4bf23f066a2a,1
603586b312863f6333cb8492,1
5c8afb535e65990001da9eeb,0.50
63b6be87ead45e4fa772fbf5,0.50
6275757da6d861932cb9beb4,0.50
590208c89571f50001c666e3,0.50
6064a0185b9ce0ca98b5e791,0.50
5ddcd77f23f9f1c2c45d6c18,0.50
55519750fdf99b7f2114cc3e,0.50
5f2a12f5837dd81e5881b7cc,1
60ba9b1108f554e36941c2b4,1
5f6fd1451758e95a989623b2,1
5e3e01d5194a5607f3335fa3,0.50
5d730a3cf37bfe0001ff031a,1
63d423b81f5e313b9958723c,0.50
5f1c72e25a26d503c77bfdc9,0.50
6168a6cdc303371392b9d9c8,0.50
5ba849b3a2a1ae0001f08d2d,0.50
630adf01fe54101d5214a17f,1
63e711bb284d2bc894a057a6,1
5ea89d0c5a0a9c12978f8263,0.50
5ebc74759921f30c68adcc7a,0.50
5f07adce6d89431f2b7eddf4,1
642908b890bae77e9992be3e,1
63d1458687bb808c5929e352,0.50
64345bf16b9a2e046128887f,0.50
63782709326973c77adc3db8,0.50
5bb239a60cc22c000146833e,0.50
5f5452df72345118f58d187b,0.50
5dc9f3a0e2633171257d503e,1
5f24b0fc546c5a0c3c2e43b6,0.50
5bb94dea3ea7ed00017cb109,1
5e8804c63ac81448c5ab0fa5,0.50
570fa921f895a7000f38ca6f,0.50
641640ace28d2bb30c45c595,0.50
610db6b12735af982d96b12d,1
611096c8314b2d34d37bc158,1
6428bb071800462494d7da09,0.50
5ebce13c139d7400088934fe,1
628f572a2d1304a34b9e1a37,1
5d51ffd641a6aa0019ca73df,0.50
5d65c3946081d0001a673710,1
5c0fc9645096c60001f15b12,1
606713e36935dc3c2af54841,1
6384d848165f7e57de28607c,0.50
611fef91a3800a9e7bfca495,1
63f477547d2302b4346299f4,0.50
630981b0f861918e8174a43e,0.50
614fbb4467c4c74f573a94d3,1
5f0a768d79e052185602759b,1
614eb0a92921d8c1e64f4873,0.50
5a84f454ae9a0b0001a9e4e5,1
5dcea7314d51e4107516c80d,0.50
630f06eb561655a94229a93d,0.50
5f8cfa7c9d47214a4b02c17d,1
56bd7bf3d4e2180005a86846,1
5dcf7b49523df00ae9c4e07e,1
5f5a0f0a612008057e58d281,0.50
6434ca569e4ece2d6062bd6b,1
60fcfc901e6ff71aa60cc193,1
63cff262503b56190be3eb18,0.50
5d4a41890e604c00011ade8b,0.50
5fa4f94e535f3b1aa628e0ab,1
60c7c096903b9b083aa00c4f,0.50
62fb85a89ccb1ac663b54783,0.50
62729485c0955ee802ac1692,0.50
63d9f31dba727de153019798,0.50
643b56c128bc9da4d485324e,1
63f79204eb27c9dc523185d9,0.50
55fb250177f33b000ccb212f,0.50
55b424e1fdf99b526efcf8d0,0.50
63e64959bf1cb4617fa269e5,0.50
60edac884fef13c0b0660daf,0.50
60fcd2732f224ad841d9677d,0.50
62c2f317234b9ce70f6d3578,0.50
5678ea0289319e00116519c3,1
5f831c425ca1f40800de0cd4,1
6276d97e209059496d37bf74,0.50
5ea120ed66031912aea618ae,0.50
63d01e0731b6c1359a543d57,0.50
62bd1d1283b326cde10cf27a,1
5ce83f6ffdd26c00193b9611,0.50
6404f184dffe93798dca0f5f,1
6100000ff91c50669c1a1361,1
63251e479509813fab713ad2,0.50
5b7723d0338a930001545ad2,0.50
5c2bb03b9fb36d000198e2d7,0.50
643ead9be9be7fa2c20e1a53,0.50
63be3c7ab7bccecc7dc80cd4,0.50
5ec00f62cf12be40ea6fe344,1
5e2be6efe179572183644844,1
54847f1cfdf99b07b28f22f9,0.50
5ba5d8b960f3d50001697104,1
60f5f8769fc9289a9e518129,1
5cc78069714158000168f17f,0.50
5d100e740277ff00152f7562,1
63e1dbd6e3b024508cfb12e9,1
5e8b414388ac1c80052bf196,0.50
5e06ecd524f9390991997bb7,1
5f330bfd7109cd0e649566b6,0.50
62dc177e02f82aabb20aebc2,0.50
