prolific_id,bonus
61369e0db0f0be2588e09863,0.25
60fd78cb439f85c6a297f44e,0.25
55bb74f1fdf99b1519ef4762,0.25
63d3f9726aab19fe9a92027a,0.25
61085c8a852ffd73301ee650,0.25
60686ac3349b6eca6e6e598c,0.25
6346a1e0ac2f099c5c7a8f93,0.25
5e89c7b03cbd116605a94c1f,0.25
5f184728d19ea708dc8f290f,0.25
5c745295821a97001763fb1b,0.25
5ec55212bfb2ff4fb33a4321,0.25
5b5a29136fc6bb0001d3ba83,0.25
62a766b2136b85985f41acb7,0.25
60fdbd0f06c0c59f1e37183d,0.25
5c9167ff0a216f00103ce299,0.25
60ff4f840fb5130859720ab8,0.25
63d00101fbefbec676f2a3e6,0.25
5fed41e3e14422f5e308c6e5,0.25
60aee0858e96f753f593b729,0.25
62b0b6c050a175081568bf35,0.25
5e90c34303a0a90afb2227c6,0.25
6392555a9838cc65a9c829ef,0.25
5ec06f59c4ceb1481f225bbd,0.25
5d1a7bb2339da6001a12b11a,0.25
63b74e93984caaa40cc51dce,0.25
6314bc49055e150c92f4736e,0.25
6078b85e024d1d094113c3aa,0.25
643084a0718f628dd3977071,0.25
5dd901ce7aa0d689cec7b472,0.25
644d5fb220ffdb914ba77191,0.25
5c6a92d8a26a8500014446f7,0.25
5f4ba1d33300ce04de8d2da7,0.25
60fcd30ec7e2d392d25ee034,0.25
5d1082d68cf933000163caa1,0.25
642b57f81b113b7454e2f47c,0.25
60bac5132ef24d7326f7132e,0.25
644ac5ec3fd2d993f5d80bcd,0.25
5b28186821f42d0001d8d0a2,0.25
5ee7903e80706a01ea855d36,0.25
610a151c96de07b15f28c8cb,0.25
6294de1b341cd20e308d1a4a,0.25
63e58368bd07dd1ddd2f2d08,0.25
63d550387f31bb9bc91ada90,0.25
6400de8f305c51d03c2a9a0e,0.25
60fda20d89edf1022f91ace9,0.25
5fc5a2371b535212264944ca,0.25
5d71555a7e53bd000148c016,0.25
57e148fe538c8c0001616bf0,0.25
5c2414b8101408000140617a,0.25
64320d32f144ad4cef20c60f,0.25
6400f34a0d001f6bd0faadaa,0.25
5dddd95d238a91d4fa1a8cf6,0.25
6166e646b25682895e011d5f,0.25
5d1c0e818d27eb0016164015,0.25
643ec04e273a38d15ef12705,0.25
5e686e5f1ace851137ed4eb3,0.25
614f89c684db5a8edbbd8ab8,0.25
63ea5b522989d24b3a9b80d9,0.25
5eea591930ca5f0ddaa75a7f,0.25
636148a83d7a7c349bb08436,0.25
642f943a60d39a0cbb7cfde6,0.25
63d5aafaa65a001c36a652b2,0.25
62dc2f45630616c5920dcb75,0.25
5f9c755c87a954121022de9e,0.25
64226a9ac7739618beeee60d,0.25
63b6d3e17fd3063a57be2512,0.25
60fdf7c3d7468efcd637fcec,0.25
617531b45568af8db14c3a1f,0.25
6296ecaf7ea72c4951583ffd,0.25
5c46353e11509900018e24b4,0.25
61033627c32742424aeaaac1,0.25
63156db7717be8c0c873866e,0.25
6287748198aa98c765deff27,0.25
5a4a94fef7b7bc00014e1462,0.25
5b2890f10ec82d0001d24b61,0.25
61255c5cd3dc2cfd8fbc101d,0.25
6114b416d9c506518392523e,0.25
5dd2c24718beb62c404d5099,0.25
63d7d4769fd924f371c14563,0.25
644e757b60476ac7d5a7717a,0.25
60ff4221546bdd532d659c0c,0.25
644af405d31dd25adf037157,0.25
604bd44cb5668ba12cc9376e,0.25
638476f72ab8021be345e3ac,0.25
6143af8721d1445864c4f6c8,0.25
60ea57c074a703877f04330b,0.25
56ec2213388e1d000a5960c2,0.25
63f29de1e498d3b7a8e490ab,0.25
6321d7404a95a42175d1243d,0.25
5cb6527cdcd7180015d0a463,0.25
63d7e87ee7333b219a553295,0.25
628d62e2c99c773b217f1321,0.25
602af54feff74b1eeac797e8,0.25
5eeba783164680119f2e30c7,0.25
58f18575d9fd500001b0d8a9,0.25
63d83a19b8acced30d2e0d32,0.25
644456244b8bca2f94fae056,0.25
61119dbb3bb886548d08a015,0.25
59d1e366faf42e00012b6c1c,0.25
64487cfd71449fe43eb6cbcd,0.25
6137ea1ff3b925dee8fef320,0.25
5e772247e977a228b7f62f86,0.25
597b81f3de42bf000181db0b,0.25
63cc90d2bed7edb18c3fd155,0.25
60ebbdd7a4f2acdb9a9769e5,0.25
643c54a621bc0a29bc672cfb,0.25
5dd4767b32288646716dc98a,0.25
5febd397ad8fbad21bcd6182,0.25
5e14d563c4e155ae93907ae1,0.25
5f4c90b455e3b98a801967d0,0.25
5c4534332b1bda0001f5791f,0.25
610cb2e82784ac6af6469fc5,0.25
60d2cf988de167c9da56eeb0,0.25
6123fc5fe45f1905d9e7fe29,0.25
5658000ca9872d0011e1ba26,0.25
55beec67fdf99b6b670922f8,0.25
6141336204eb8ccdd5f75e09,0.25
59f226a9d6380600018b2923,0.25
60ddff2cd6cb7a81cdfb6a00,0.25
55dbdc9d50a1f7001190d753,0.25
63d12f8c48b235842187c959,0.25
64137d0dfe71cf6624348d27,0.25
5c2dae2110677f0001dd1137,0.25
62e029ff528ea30b4508eaf5,0.25
5a53e59af6c5170001949a39,0.25
63ba815c8e273426ad039080,0.25
62dc78329e1358440d6c29a1,0.25
5ec74032fa02b71929197051,0.25
63eda5a4a87d8bd73853fa8e,0.25
63d40e2ebf8618778fa289f9,0.25
63ee5e103b44d07673cc8bd6,0.25
5f4c9e74da9c148b0d42ecbd,0.25
62b2c25fa2e87e7ed2da2b87,0.25
5a5e94a7eedc32000142cd08,0.25
63e51e55974365f1e43df265,0.25
5aa52f9235237b000112fa15,0.25
62e097c92160176b0b9c2619,0.25
628deac8711dee5dbda650ae,0.25
63614899ad49a91f1ef09067,0.25
5ee8bb541323a50651accf89,0.25
6440883aa6e850dda1c0cf5c,0.25
62c8d23e8eb59ca0306d4463,0.25
62efd80e052c3a3aaae2d46f,0.25
5c748b9188fdc20017c60436,0.25
63e885e4e1fc973179d56f63,0.25
6449b6ac80df4eb6727b570c,0.25
57b0e0277030f200018c2dfb,0.25
5febd16bbaa7c4d3e31147a0,0.25
62734ce38db73cd5bd81a36f,0.25
614cd9dba2dad462039739cf,0.25
5dcdb60be64aaa07c14065cc,0.25
63d97656f4c5e18d8889afcc,0.25
615d051e2366aeb051acb734,0.25
6442078ea626b3653e3875b7,0.25
622bb5795e1ef00b5fc8908a,0.25
640e54837a907926a3ee82aa,0.25
5588b214fdf99b7a7714efa3,0.25
63bc74f63269af3a7bfcec7c,0.25
612fcbbd5386d9edb42da147,0.25
5a07a6af002e1800019d6aab,0.25
615dbec57d764bf5ab0a56e5,0.25
61079a83c6af47f112977a97,0.25
6101874b2f9555e786410c0a,0.25
63d13d5581e6d01c11fb0cbd,0.25
5eaff2eac963900392c6dc48,0.25
5e6ecf46f14d2648b814fd81,0.25
6234f954ebf560c4741256ad,0.25
63e996c8c4c7273affaedc11,0.25
5e9d1b81b5e15c25cedaa41b,0.25
62029a39ef1cb18a1337c5e3,0.25
61129dce5308375e83487e7e,0.25
60f33a0abc722ea24c23ea90,0.25
5b0b4f41641b1200010ecb11,0.25
61089f3545e100ffed96d0de,0.25
5d433b3303d3170016fee0f2,0.25
64417871875bc046c888c152,0.25
5c31e4f46558270001bd6c90,0.25
63e4659066d57da391a04e5f,0.25
63b6e5e23b31a38790ff1ce2,0.25
64160a321838bf092d47cd69,0.25
6172db316212169efd33f55d,0.25
58d2cb10f5899100018a05b8,0.25
60fd201ddecfacd72eccae7f,0.25
5f9ee54c23ffaf4bcdbf72c8,0.25
60be9e6d43e65ef1e1082a0a,0.25
5ddd2a4459b1b0c7509c7a47,0.25
5bdaaa751c73640001629a6c,0.25
64408b4921bee382014b3233,0.25
60fd6e896a09d28116be471f,0.25
62ba3c827ac84619443dc63d,0.25
60e4c09a4b30f16f5a1053e7,0.25
610c56ddc029efbacb229c71,0.25
643355a61ab49020e1422698,0.25
611409d13bdb227076c9426b,0.25
614ea93d581d6f4281e9d232,0.25
60ff1afa23c4ddf0bf2e1610,0.25
61719bfec06e3136189edb55,0.25
5ed000b32b32890b00a1b61c,0.25
5c61c7c590c46f00016a3598,0.25
63ed1619694e2efdb6d975d3,0.25
602191ca72e7751a7de26df4,0.25
5e916cb9e502b1498e8fc059,0.25
61fa943b5719bc09cb834ebb,0.25
62833eadf3baa3ef8a587e41,0.25
5ad2c8334d061300011b1985,0.25
55ddb84550a1f7000b90d65a,0.25
60451e0f0d94f161286383d9,0.25
574790895e549100063b6105,0.25
63bdd0745fa04b7ce44bb161,0.25
641a43f78351cc4fefe31190,0.25
61026cadb23cf6dca7e0c12e,0.25
633eb584ec1a3cf0efdc2563,0.25
60f2a2b4932fed5326988e0f,0.25
60ff6b0720fb724536710e7a,0.25
60fd64b59f6e27a3ed22bd7b,0.25
5a5ec648eedc32000142ce86,0.25
63f28596c6c8afeff5623b12,0.25
63b6ffb02943686f4f354741,0.25
63b75b3eace44d9b4bbe411d,0.25
62713a003caa3feec5c6a0ba,0.25
60db523dcea80b0ec44bf2d9,0.25
62ed458d61ebd1930833e95a,0.25
5ff3dd153986cc9fd8a6ba4f,0.25
63eede94f681b834bca2a179,0.25
6313a3d93104022e9b8a7318,0.25
60f20b2fe513c31967922ad5,0.25
6005fd9c8bbd67931607e518,0.25
63ed45bfc7e379e069b9db52,0.25
60bd4bfc88b646e72d772977,0.25
6041ab87b29d93115fdaa957,0.25
5f3f0372261ed81e799d723c,0.25
6443227b2a451d1c03771012,0.25
5cf551508926360018a5e9ff,0.25
5c3388fa01439b0001a0adfe,0.25
639a377ae81184e896e1daaf,0.25
5f262b0122a12035d4175b44,0.25
5fc107b696c1250962897bcb,0.25
5cc22481f6ef910019e5120f,0.25
6398af4f26e303972b2d4eab,0.25
6266b47e6da251268380b62b,0.25
6306d4da805f2e38a841c3ad,0.25
62a28954e732ccd0833d2f1d,0.25
60f853cd86a859bfa351a37c,0.25
59c3289b8e6ea10001f7b926,0.25
630663a1dc842dde6b18b557,0.25
6026aaab6d051201e5e6adbc,0.25
5e72e0d8adc903240ac70891,0.25
63614af3f714542282bd139b,0.25
63d7a8a2591096e22405d64a,0.25
5dd2f94a238a913096c52317,0.25
5cfec17adc24bc00016efa53,0.25
6266e63b82fa38e800e33a24,0.25
628ecaf78869ed2022d7690f,0.25
60fd0018df64560bf9402e2c,0.25
5ba345bcf07414000106135e,0.25
608f2aa883599160c8b87a79,0.25
610058f21b82dddf45b44009,0.25
5db741cc04b632000a9a9800,0.25
62b5ea86c27a56a257dffc82,0.25
641359eb0e2dc93999637e35,0.25
6314c1e76c3f71e2127f1976,0.25
607134f478e13587bd89e13a,0.25
63d3f95bba922834f0e8ac39,0.25
6367623b6486b192115ee728,0.25
62f875cb0bd095fcf778dd3a,0.25
6419cedec2078147e5682474,0.25
6413672a835333b90d961eaa,0.25
5755a4c33c680b00095db408,0.25
567dd32b4f0ef30006dbb718,0.25
581d38509b5b8800014d507e,0.25
5dfe8e7bdc8535b21b18ea2f,0.25
63d77a647dbf6c0c53b0d375,0.25
610acf76d33d448b391eb588,0.25
60d13d406f3b34d6791c8831,0.25
63f7c538e9def44bfbdc7db3,0.25
60ef2700e476748689a999f7,0.25
5e3f4c676d06fc1b240e6021,0.25
610049f981983d371de57fbf,0.25
63d570d979c31656fece7c7d,0.25
5fc2a0d812bc59000b746ee5,0.25
60a1e1f4a3707c983a98f185,0.25
5d85910572aeb00001290de9,0.25
6405feae7d6321bfaaf793e8,0.25
60e68d7dc0d998d1c7842a65,0.25
62896076149e8f156545884c,0.25
634daa35d11d334e56a40de8,0.25
63d176dbaef5e7827cd86954,0.25
5fd0dc0d8dae67016ed65a54,0.25
61675c05a439d7788e814390,0.25
5be8dd56d153f500019ab3cf,0.25
6376e34cb9fc3dab5a718c87,0.25
5faa0c564cbdfb2e1869df72,0.25
63d7d7b2acbb9e89e82b7086,0.25
5c1e11d594392b00017f949a,0.25
6298f177bd9e483270ee796b,0.25
5e63e793e50a6316a75213c4,0.25
61116b7ba2ada479c60a86e7,0.25
5cba9a8a214b1a0016ccf708,0.25
6127b6191739178030d6cd4d,0.25
5bcdce524f22df00010f79a8,0.25
5d2e02ed1818240016ea87e1,0.25
5add4ae309eae2000112d116,0.25
5d2f054b1dde3600015e43d9,0.25
5bbb4682b8653000016779e3,0.25
5e3a058510f1a622d69d2881,0.25
5f8f9f84c51c5c21ad7b356a,0.25
63e52076fc677ee3ccce9a4d,0.25
5d56ae8ce2a7330015ed2eb7,0.25
6163d3ea0d13c617bb46c99b,0.25
5bf53836ec7b5f000159f4b3,0.25
5a8b61fcf1408d000176b02f,0.25
615e01e53a44a0c3c04378c0,0.25
5fbedb605c74b312137f371b,0.25
5bb97572636c800001d60ccf,0.25
617390ea6b825a0eb8904f29,0.25
5e28e8819061a50beacc52c5,0.25
5ed0091bd374190b9b04045d,0.25
6171da4573cf08b98b35ed1a,0.25
5dc4c22f0389e438ac69eac9,0.25
61522914d434adca3dacc356,0.25
6234a8a7dca8124a2b88859b,0.25
6150fb8383f88eae3e5c795a,0.25
6436271f6ff817660ede859b,0.25
63d13b6c6f400faae3922c44,0.25
588caba9ca4f6700019cfafc,0.25
5dbe8324d5b87636af31cf4f,0.25
5af0a7e5c36b060001f7df3b,0.25
6101b2a04f101c97afb35034,0.25
636154c9faf44aa44a14d155,0.25
62d4c5676e4f202832300e40,0.25
6023124ca94e271676bf78ba,0.25
5cddb0f6f71e09001aae445c,0.25
63eeaf9f8433c653dedbd574,0.25
61019fe1c6bc61fafe1c74fe,0.25
5f1273feb9ddf60dd2781b2f,0.25
5e00f9a211999fcea4169800,0.25
64414f161baf4ec22ff38361,0.25
5e8537fe23609011fe987ca7,0.25
636b27e16c27eecad3500512,0.25
628eab48a8c8dc1ecec338dd,0.25
6400e1da013c92ee33537ed8,0.25
628d78a2ccf4a41f24c2d2d8,0.25
60c433a4f78e97b5ef1ce71b,0.25
5eea479c14742d0ad3e11468,0.25
640125ccc6e7619cbe0c082b,0.25
615dd79ed16dba94e3f7b2ef,0.25
63fcd5c939fe3d0164cf8eb3,0.25
6409220c6166510beff12d14,0.25
5ede9b80b8a141131edabbe1,0.25
616c9115b3a3d2f885822a57,0.25
63c5a43f0cb13f00f8e8de1f,0.25
60d9e7e76cf2ab6d21eb5f99,0.25
642e1a07db7cf702d846e722,0.25
5b9b4cc406114100010660f0,0.25
639b9ab341f4429b1b3c06a2,0.25
5b5a822e1ad8270001c4f28d,0.25
5c1942e200849900010afdcd,0.25
5ee2e7bf21501a83d55642cd,0.25
6441703b272bf804bc92bb10,0.25
63eb13f36c0fe9ba20d45234,0.25
63d1a9e2d0149d86842dfaec,0.25
6328817c90a7f703ded34c91,0.25
