Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644f04ee4fa49f4f13789921,5ea9cf685ce96d13164b381a,APPROVED,2023-05-01T00:16:52.015000Z,2023-05-01T00:24:25.848000Z,2023-05-01T00:24:26.305000,2023-05-01T00:24:26.247691Z,454,C1GTSTWU,2078,"English, Hindi",28,Male,Asian,United States,United States,United States,English,No,DATA_EXPIRED
644f05226367dad633583ba3,61675c05a439d7788e814390,APPROVED,2023-05-01T00:17:43.662000Z,2023-05-01T00:33:11.205000Z,2023-05-01T00:33:11.688000,2023-05-01T00:33:11.631613Z,928,C1GTSTWU,935,English,65,Male,White,United States,United States,United States,English,No,Full-Time
644f0634ce56204d2a0e1385,61369e0db0f0be2588e09863,APPROVED,2023-05-01T00:22:20.386000Z,2023-05-01T00:32:06.704000Z,2023-05-01T00:32:07.091000,2023-05-01T00:32:07.019178Z,587,C1GTSTWU,231,English,42,Male,White,United States,United States,United States,English,Yes,Full-Time
644f067bbbb040b453495806,64412a8728a63932f7eeb4c3,APPROVED,2023-05-01T00:23:31.843000Z,2023-05-01T00:38:52.351000Z,2023-05-01T00:38:52.787000,2023-05-01T00:38:52.728049Z,921,C1GTSTWU,4,English,33,Male,Mixed,United States,United States,United States,English,No,Full-Time
644f06dd6aa3adc1bff8ee40,61079a83c6af47f112977a97,APPROVED,2023-05-01T00:25:06.125000Z,2023-05-01T00:32:28.812000Z,2023-05-01T00:32:29.195000,2023-05-01T00:32:29.141566Z,443,C1GTSTWU,72,English,25,Male,Black,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644f06e89dbbad1490c62a00,641a7e0a860ab86fd7994894,APPROVED,2023-05-01T00:25:15.570000Z,2023-05-01T00:36:13.841000Z,2023-05-01T00:36:14.310000,2023-05-01T00:36:14.252311Z,659,C1GTSTWU,149,English,29,Female,Mixed,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
644f070f03a2ce2d8a924038,55ae61acfdf99b44a305f135,APPROVED,2023-05-01T00:25:55.057000Z,2023-05-01T00:34:03.555000Z,2023-05-01T00:34:04.049000,2023-05-01T00:34:03.986560Z,489,C1GTSTWU,100,English,39,Male,White,United States,United States,United States,English,No,Full-Time
644f075bdf9ba0fc87c62a25,6101874b2f9555e786410c0a,APPROVED,2023-05-01T00:27:11.755000Z,2023-05-01T00:33:55.904000Z,2023-05-01T00:33:56.332000,2023-05-01T00:33:56.266297Z,405,C1GTSTWU,118,English,24,Female,Black,United States,United States,United States,English,No,Full-Time
644f07895a60a7f58950e03f,55bb74f1fdf99b1519ef4762,APPROVED,2023-05-01T00:27:59.257000Z,2023-05-01T00:41:23.782000Z,2023-05-01T00:41:24.179000Z,2023-05-01T00:41:24.353158Z,805,C1GTSTWU,2372,English,51,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644f07c15a60a7f58950e050,61008174621af4fde89d5c7f,APPROVED,2023-05-01T00:28:54.061000Z,2023-05-01T00:38:49.860000Z,2023-05-01T00:38:50.285000,2023-05-01T00:38:50.229677Z,596,C1GTSTWU,1450,English,54,Male,White,United States,United States,United States,English,No,Full-Time
