Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644c0e933631a4bd99e3cffa,63d698429453269de520bbb8,APPROVED,2023-04-28T18:21:11.859000Z,2023-04-28T18:30:47.068000Z,2023-04-28T18:30:47.572000,2023-04-28T18:30:47.508554Z,576,C1GTSTWU,39,English,28,Female,White,United States,United States,United States,English,Yes,Other
644c10115fb7a83b50d1005b,63ed86ca95e89a58884b9677,APPROVED,2023-04-28T18:27:35.876000Z,2023-04-28T18:35:02.586000Z,2023-04-28T18:35:03.166000,2023-04-28T18:35:03.059932Z,447,C1GTSTWU,82,English,51,Female,White,United States,United States,United States,English,No,Part-Time
644c111a0157e36edaf77711,610da052e73bf3db58b1402f,APPROVED,2023-04-28T18:32:00.814000Z,2023-04-28T18:46:53.694000Z,2023-04-28T18:46:54.217000,2023-04-28T18:46:54.149195Z,893,C1GTSTWU,1093,English,50,Female,White,United States,United States,United States,English,No,Part-Time
644c11bb089f39dab526194b,5e3244f5bac19521aee1a0de,APPROVED,2023-04-28T18:34:39.343000Z,2023-04-28T18:39:52.523000Z,2023-04-28T18:39:53.134000,2023-04-28T18:39:53.074534Z,314,C1GTSTWU,537,English,30,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644c12a9da0ea91d3e4df8e4,5ce6fface788a7001a3e94f1,APPROVED,2023-04-28T18:38:38.894000Z,2023-04-28T18:52:17.763000Z,2023-04-28T18:52:18.286000,2023-04-28T18:52:18.205763Z,819,C1GTSTWU,1283,English,47,Female,Black,United States,United States,United States,English,No,Full-Time
644c1472688e2ae16d26193d,5a61207cc0d8360001078f07,APPROVED,2023-04-28T18:46:16.736000Z,2023-04-28T18:57:54.194000Z,2023-04-28T18:57:54.575000,2023-04-28T18:57:54.515648Z,698,C1GTSTWU,2862,English,49,Female,White,United States,United States,United States,English,No,Full-Time
644c154318df3737d2fc2d40,5e6033dbfb4665381e27f2fc,APPROVED,2023-04-28T18:53:46.155000Z,2023-04-28T19:00:57.554000Z,2023-04-28T19:00:58.159000Z,2023-04-28T19:00:58.606737Z,432,C1GTSTWU,1985,English,41,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644c16223bb398968db4f65a,6310b0e0a83a76b663465835,APPROVED,2023-04-28T18:53:26.124000Z,2023-04-28T18:57:45.297000Z,2023-04-28T18:57:45.942000,2023-04-28T18:57:45.853738Z,260,C1GTSTWU,414,English,20,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
644c1669e01eb254730892cc,63ed3c9553e90510bf1da553,APPROVED,2023-04-28T18:54:37.204000Z,2023-04-28T18:56:16.348000Z,2023-04-28T18:56:16.844000,2023-04-28T18:56:16.775380Z,100,C1GTSTWU,365,English,22,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
644c1a020a6bdd52de924058,60c2dde65a63ca7ad434f658,APPROVED,2023-04-28T19:09:57.804000Z,2023-04-28T19:16:41.963000Z,2023-04-28T19:16:42.649000,2023-04-28T19:16:42.567288Z,405,C1GTSTWU,729,English,37,Male,White,United States,United States,United States,English,No,Part-Time
